Job Nature,Position Level,Job Category,Qualification,Salary,Company,Title,Description
0.0,0.0,0.0,0.0,0.0,0,About Adecco,"['Career opportunities with us stretch across various functions and levels. So whether you’re looking to join as a recruitment consultant or seeking to expand your finance, marketing, sales and IT career, we’ve got the opportunities for you.  \n\nIf you are passionate about your success as you are about helping others, you’ll feel right at home.  \nLet’s work together. \n                ']"
0.0,0.0,"

Consumer Services, 
    
Customer Service, 
    
Hotels/Integrated Resorts

","'N' Levels / 'O' Levels, ITE/ NITEC/ Higher NITEC, 'A' Levels, Diploma, Bachelor's / Honours, Masters / PhD",0.0,Marina Bay Sands Pte Ltd,Cage Cashier,['Job Requirements:']
0.0,0.0,0.0,"'N' Levels / 'O' Levels, ITE/ NITEC/ Higher NITEC, 'A' Levels, Diploma, Bachelor's / Honours, Masters / PhD",0.0,United Overseas Bank Ltd (UOB),"Manager, Linux and vSphere Administrator, GTO",[]
Permanent,"Entry Level, Experienced","

Consulting, 
    
IT-Management, 
    
Security

",Bachelor's / Honours,0.0,Xtremax Pte Ltd,IT Security Consultant,"['', 'We are looking for experienced security professionals who can help our clients achieve a secured environment for their applications and web information. You must have strong experience in performing penetration testing and vulnerability management services for applications, network systems, operating systems and database. Candidates should have experience with black box, grey box, and white box testing. Selected candidates will work on a whole-of-government platform that hosts close to 500 web applications.']"
Permanent,"Experienced, Manager","

Compensation & Benefits, 
    
Consumer Banking, 
    
Corporate Banking

",Bachelor's / Honours,0.0,Maybank,Credit Risk Manager,[]
"Contract, Temporary","Entry Level, Student Job","

Clerical/Admin, 
    
Data Entry, 
    
Medical/Life Science

","ITE/ NITEC/ Higher NITEC, 'A' Levels, Diploma","

        2,000 SGD - 2,500 SGD / Month
      
      
",Recruit Express Pte Ltd,Contract Admin Executive Assistant (Healthcare/Life science) - HRE,[]
Permanent,"Entry Level, Experienced","

Brand/Product Management, 
    
Customer Service, 
    
Sales Support/Coordination, 
    
Transportation/Shipping

","Diploma, Bachelor's / Honours","

        3,000 SGD - 3,900 SGD / Year
      
      
",OakTree Consulting,Business Planning Executive,"['Job Responsibilities include:\xa0', '', '\xa0\xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0Management of the bottom price systems for normal and special inventory sales, including maintenance and updating of the pricing database.', '\xa0', '\xa0Job Requirement', '', '\xa0', '', '', 'Please submit resumes with the following details in MS Word format to [Click Here to Email Your Resume]:', '- Position applying for\n- Current remuneration\n- Expected remuneration\n- Notice period\n\n\n\n', 'John Goh Meng Chye\xa0\nEA License No : 06C4642\nEA Reg No : R1102621', 'We regret that only shortlisted candidates will be notified.']"
"Contract, Temporary",Experienced,"

Electrical/Electronics, 
    
Maintenance, 
    
Mechanical

","Diploma, Bachelor's / Honours","

        123 SGD - 321 SGD / Month
      
      
",PrimusTech Private Limited,Cisco Certified Network Engineer (4 weeks Contract),"['Primary Responsibility:', 'Network Engineer shall organize, manage and execute assigned tasks in an efficient and timely manner so as to meet a set of pre-determined project objectives. He/she shall provide technical/engineering support to Sales during tender period.\xa0\xa0 \n\n', '', '', 'Specific responsibilities:', '', 'Position Requirements:']"
0.0,0.0,"

Corporate Finance

","'N' Levels / 'O' Levels, ITE/ NITEC/ Higher NITEC, 'A' Levels, Diploma, Bachelor's / Honours, Masters / PhD",0.0,United Overseas Bank Ltd (UOB),"Vice President, Group Retail Business Finance - MIS & Analytics (Business Banking)",[]
Permanent,Experienced,"

Customer Service, 
    
Sales Support/Coordination, 
    
Sales/Leasing, 
    
Transportation/Shipping

","'N' Levels / 'O' Levels, ITE/ NITEC/ Higher NITEC, Diploma","

        3,000 SGD - 3,800 SGD / Year
      
      
",OakTree Consulting,Business Planning Executive,"['Job Responsibilities include:\xa0', '', '\xa0\xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0Management of the bottom price systems for normal and special inventory sales, including maintenance and updating of the pricing database.', '\xa0', '\xa0Job Requirement', '', '\xa0', '', '', 'Please submit resumes with the following details in MS Word format to [Click Here to Email Your Resume]:', '- Position applying for\n- Current remuneration\n- Expected remuneration\n- Notice period\n\n\n\n', 'John Goh Meng Chye\xa0\nEA License No : 06C4642\nEA Reg No : R1102621', 'We regret that only shortlisted candidates will be notified.']"
Permanent,"Entry Level, Experienced","

IT-Software/Development

",Bachelor's / Honours,"

        48,000 SGD - 72,000 SGD / Year
      
      
",SnapHunt Pte Ltd,Application Support Specialist,[]
Permanent,"Entry Level, Experienced","

Clerical/Admin, 
    
Consumer Services, 
    
Management Trainee, 
    
Restaurant/F&B

",Bachelor's / Honours,0.0,Hai Di Lao Hot Pot 海底捞火锅,Management Trainee,"['Job Responsibilities:', '', 'Job Requirements:', 'Working Hours:\xa0Shift Work (Six Days a Week).', 'Working Location:\xa0Clarke Quay, Orchard, Jurong East, Harbour Front, Bedok, Novena, Dhoby Ghaut, Sengkang.\nOpening Soon :Sembawang, Paya Lebar, Tampines (Recruiting)\xa0', 'Salary：S$2600 (Probation Period)', 'Walk-in Interview:\xa091 Bencoolen St Sunshine Plaza #02-04 S189652', 'Interview Time:\xa0Mon-Fri 10:00-12:00 or 14:00-18:00 (Close on PH)']"
Permanent,"Entry Level, Experienced","

IT-Hardware, 
    
IT-Administration, 
    
IT-Management, 
    
IT-Software/Development

","Diploma, Bachelor's / Honours",0.0,Method Media Pte Ltd,Front-End Developer,"['Responsibilities', 'Skills And Qualifications', 'Interested candidates are invited to send your updated resume via Apply Now. Please include the following in your resume:', '', 'Your project portfolio', 'Expected & last drawn salary', 'Availability/ notice period', '', 'We regret that only shortlisted candidates will be notified.']"
Permanent,Experienced,"

IT-Software/Development

","Diploma, Bachelor's / Honours","

        3,600 SGD - 4,200 SGD / Month
      
      
",iqDynamics Pte Ltd,Application Developer & Support Consultant,"['Responsibilities: ', '\nRequirements:\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 ']"
Permanent,Experienced,"

IT-Administration, 
    
IT-Management, 
    
IT-Software/Development

",Diploma,0.0,HackerTrail,Data Engineer,[]
0.0,0.0,0.0,0.0,0.0,0,0,"['Are you looking for a challenging and exciting career in the recruitment industry? If you love to meet new people, wish to derive personal satisfaction when there are successful job matches and are able to assist candidates in attaining their dream jobs, \nWE WANT YOU! JOIN US NOW!\n\nAt Success Human Resource Centre, we are constantly seeking passionate individuals who are team players with leadership qualities. We offer our employees not just a job but an exciting career with limitless opportunities. Beyond excellent career prospects and competitive remuneration packages, we continuously encourage exceptional performance through professional training, career development, and other reward and recognition schemes. We provide our employees with a conducive working environment, encourage creativity, innovation, enhance personal and corporate effectiveness as well as efficiency.\n\nIf you share our values and goals, and have what it takes to succeed, email your resume to resume@successhrc.com.sg. Alternatively, we also welcome you to drop by for a walk-in interview at: 1 Sophia Road, #06-23/29 Peace Centre Singapore 228149\n', '', 'Temporary Marketing Executive\n\n ', 'Job Responsibilities:', '\xa0Period:', 'Salary: ', 'Working Hours: ', 'Location:', 'Job requirements:', '', '', 'Interested applicants, kindly email your detailed resume (MS Word format is preferred):\n\n', 'tracy@successhrc.com.sg\xa0(Reg No: R1107390)', 'Please ensure that applications sent through email are no bigger than 1Mb.', '\nWe thank all applicants for your interest but regret to inform that only shortlisted candidates would be notified.', '']"
Permanent,Experienced,"

Building/Construction

",Diploma,0.0,PrimusTech Private Limited,Drafter,"['Primary Responsibility:', ' ', 'The Assistant Engineer shall organize, manage and execute assigned tasks in an efficient and timely manner so as to meet a set of pre-determined project objectives. He/she shall provide technical/engineering support to Sales during tender period.\xa0\xa0 ', '', '\n', 'Specific responsibilities:', '', '', '\n', 'Position Requirements:\n\n', '', '\n', '']"
Permanent,Experienced,"

IT-Software/Development

",Diploma,"

        42,000 SGD - 72,000 SGD / Year
      
      
",SnapHunt Pte Ltd,Java Developer,"['Our client is amongst the world’s leading employers and helps companies harness the power of innovation and have successfully guided the world’s largest enterprises and government agencies through successful change cycles. As a world leading independent, end-to-end IT services company, they are uniquely positioned to lead digital transformations, thereby creating greater value for clients, partners and shareholders, and presenting growth opportunities for their employees. ', ' ', '\nThe Job', 'You will be part of a dynamic team and be responsible for: ', '\xa0', 'The Profile ', 'You have at least 2 years of experience in writing code using languages such as (but not limited to) J2EE,\xa0Java, PL/SQL. You also have hands-on experience with Java Struts, Spring and hibernate framework. Experience of one or more full SDLC for enterprise projects would be a strong advantage. You can work well in Agile Development environments and any exposure to Application Servers like Websphere is a plus.\xa0 You possess a good understanding of modern software development methodologies (Object) as well as software testing methodologies, scripting and tools. You have knowledge of RDBMS databases such as Oracle.\xa0']"
Permanent,Experienced,"

IT-Management, 
    
IT-Software/Development

",Bachelor's / Honours,0.0,HackerTrail,Senior Data Engineer,[]
0.0,0.0,0.0,"'N' Levels / 'O' Levels, ITE/ NITEC/ Higher NITEC, 'A' Levels, Diploma, Bachelor's / Honours, Masters / PhD",0.0,United Overseas Bank Ltd (UOB),"Vice President, Group Compliance - AML/CFT (Data Analytics)",[]
Permanent,Manager,"

Brand/Product Management

","Bachelor's / Honours, Masters / PhD",0.0,Thame's Human Resources Pte Ltd,Regional Data & Insights Assistant Manager,"['Regional Data & Insights Assistant Manager\n\n', '', 'Our client is a global MNC and renown premium lifestyle brand in FMCG industry. They are seeking an experienced and talented Regional Data & Insights Assistant Manager to join them at their regional office in Singapore.\n\n', 'Objective: ', '', 'ð\xa0 Understand customer’s behaviour and consumption patterns through statistical analysis of the customer base (transactional and behavioural, online and offline), in order to plan and anticipate trends. ', ""ð\xa0 Work collaboratively with markets in the region to initiate CRM activities in order to increase customers’ lifetime value, build loyalty while ensuring protection of customers' data privacy. "", 'ð\xa0 Target and optimize all direct marketing actions including digital CRM through database segmentation and perform return on investment analyses\n\n', '', 'CRM Planning', 'Coach & develop the CRM in-markets to\n\n', '', '', '\nCRM Operations & Analyses ', 'Support CRM operations and analyses in markets w/o CRM & agent markets:\n\n', '', '\nRegional management\n\n', '\n', '', '\nRequirements:', '', '', 'Selected candidate will be awarded with a competitive compensation package and a rewarding career. Please click ""Apply"" to submit your application with your full cv (to include your photo is available) and include your current/last drawn salary, expected salary, your availability/notice period, and motivation factors for your next career move.\n\n', '', 'For any enquiries, please write to laypeng(a)thameshr.com (Reg. no. R1217654)\n\n', '', 'We thank you for your interest in this application and regret that only short-listed candidates are notified.', '']"
Permanent,Experienced,"

Corporate Communications/Public Relations, 
    
Events Management

",Diploma,0.0,YMCA of Singapore,"Junior Executive, Speaking Awards & Members’ Services",[]
"Permanent, Contract","Entry Level, Experienced","

Business Development, 
    
Consulting, 
    
Corporate Sales, 
    
Corporate Services

","Diploma, Bachelor's / Honours","

        3,000 SGD - 5,000 SGD / Month
      
      
",SearchAsia Consulting Pte Ltd,Executive Search Consultant - Banking & Finance,"['', '', 'Why SearchAsia ?', 'SearchAsia is a recruiting firm which believes that hiring good people is the key to every organisation’s success. SearchAsia have established a leading presence in many key sectors across Asia for top of the line recruitment solutions. As one of the leading entities of HRNetGroup, we are part of the largest recruitment players among key players in Singapore in terms of number of licensed consultants, revenue as well as the most profitable recruitment player in Singapore(Frost & Sullivan). At SearchAsia, we are team oriented and focuses on teamwork. You will be working in an environment whereby team support is strong.', 'In Executive Search, we specialise in sourcing for middle to senior management positions.\n\n', '', 'Your Responsibilities', '\nRequirements\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 ', '\nWhy Join Us?', '\xa0At SearchAsia, we are in the people business.SearchAsia offers unparalleled opportunities for those who wish to have a clear, transparent and progressive career path. As a merit-driven organization, we believe in promoting and rewarding employees who contribute to the success of the organization through the display of professionalism and results. Prior experience is not required as training will be provided!', '', '', '']"
Permanent,"Entry Level, Experienced","

Assembly/Process/Production, 
    
Consulting, 
    
Product Development/Management, 
    
Research & Development (R&D)

","Diploma, Bachelor's / Honours, Masters / PhD","

        2,200 SGD - 3,200 SGD / Month
      
      
",Plexure Pte Ltd,IT Business Analyst,[]
Permanent,Experienced,"

IT-Hardware, 
    
IT-Administration, 
    
Electrical/Electronics, 
    
IT-Software/Development

","Diploma, Bachelor's / Honours","

        3,500 SGD - 4,500 SGD / Year
      
      
",OakTree Consulting,Application Developer(.net/PHP),"['', '', 'The Applications team supports students, staff and parents to improve their work processes and to enable them to access and update relevant information efficiently and effectively. ', '', 'In order to meet the needs of our users, we build and support in-house applications using Filemaker/PHP/XML. Where suitable we also purchase, implement and support applications available in the marketplace. Some of the key “external"" systems we support are:', 'Requirements', '', '']"
Permanent,Experienced,"

Electrical/Electronics, 
    
IT-Management, 
    
Mechatronics, 
    
Troubleshoot

","Bachelor's / Honours, Masters / PhD","

        3,500 SGD - 4,500 SGD / Month
      
      
",PrimusTech Private Limited,ELV Systems Engineer,[]
"Permanent, Contract","Entry Level, Experienced","

IT-Hardware, 
    
IT-Administration, 
    
IT-Management, 
    
IT-Software/Development

","Bachelor's / Honours, Masters / PhD",0.0,United World College of South East Asia,WEB APPLICATION DEVELOPER (2 YEARS CONTRACT) (EAST),"['Reporting to the Web Application Manager, the Web Application Developer is responsible for developing, deploying and maintaining a number of web applications to extend and enhance the functionality of the College Information Management System.\n\n', 'Key Responsibilities', '', 'Qualifications and skills\xa0\xa0', ' ', 'Tools / Software Programs / Platforms Requirements', 'Interested applicants to submit application via\xa0our portal\xa0latest by Wednesday, 01st August 2018.', 'School Website\xa0:\xa0[Click Here to Email Your Resume]|65ec7284a6b742de69ad08d5eb7ed9b1|7cc1677566a34e8b80fd5b1f1db15061|0&sdata=7LL92IWw6ZFuSESLZXjRAIbUNVFPHPy4si0/+Q+/HcE=&reserved=0"">https://webapps.uwcsea.edu.sg/uwcms/pub/login.aspx']"
"Permanent, Contract","Entry Level, Experienced","

IT-Hardware, 
    
IT-Administration, 
    
IT-Management, 
    
Troubleshoot

","ITE/ NITEC/ Higher NITEC, Diploma, Bachelor's / Honours",0.0,Goldtech Resources Pte Ltd,Network Engineer,"['\n\n', '\xa0', 'Requirement', '\n\n', '\xa0', 'Please send your detailed resume in MS Word format including the following details to : [Click Here to Email Your Resume] ', '\xa0']"
Permanent,"Entry Level, Experienced","

IT-Software/Development

",Bachelor's / Honours,"

        30,000 SGD - 48,000 SGD / Year
      
      
",SnapHunt Pte Ltd,Java Developer - Graduate Opportunity,[]
Permanent,"Entry Level, Experienced","

IT-Software/Development

",Bachelor's / Honours,"

        48,000 SGD - 78,000 SGD / Year
      
      
",SnapHunt Pte Ltd,Java Developer- Commercial Projects,[]
Permanent,"Experienced, Manager","

Retail, 
    
Travel/Tourism

","'A' Levels, Diploma, Bachelor's / Honours","

        2,800 SGD - 3,500 SGD / Year
      
      
",Changi Travel Services Pte Ltd (100% Owned subsidiary of Changi),Senior Recruitment Executive (Special Projects) Based in Changi Airport,[]
0.0,0.0,0.0,0.0,0.0,0,About Adecco,"['Career opportunities with us stretch across various functions and levels. So whether you’re looking to join as a recruitment consultant or seeking to expand your finance, marketing, sales and IT career, we’ve got the opportunities for you.  \n\nIf you are passionate about your success as you are about helping others, you’ll feel right at home.  \nLet’s work together. \n                ']"
Permanent,Experienced,"

Account Management, 
    
Brand/Product Management, 
    
Business Development, 
    
Customer Service

","Diploma, Bachelor's / Honours, Masters / PhD",0.0,Fermax Asia Pacific Pte Ltd,SALES ACCOUNT EXECUTIVE,"['', 'Responsibilities:', '', 'Requirements:', '', 'Interested applicants, who meet our requirements, please send your resume / photograph / current \n& expected salary to: [Click Here to Email Your Resume]\n']"
Permanent,Manager,"

IT-Software/Development

",Bachelor's / Honours,0.0,Embrio Enteprises Pte Ltd,Pre Sales Expert,"['Requirements ', '', '', '\xa0', 'Responsibilities: ']"
0.0,0.0,0.0,"'N' Levels / 'O' Levels, ITE/ NITEC/ Higher NITEC, 'A' Levels, Diploma, Bachelor's / Honours, Masters / PhD",0.0,United Overseas Bank Ltd (UOB),"Manager / Senior Officer, Country & Credit Risk Management - Country Risk Management",[]
0.0,0.0,"

IT-Software/Development

","'N' Levels / 'O' Levels, ITE/ NITEC/ Higher NITEC, 'A' Levels, Diploma, Bachelor's / Honours, Masters / PhD",0.0,United Overseas Bank Ltd (UOB),"VP, Lead Developer (Compliance)",[]
Permanent,"Entry Level, Experienced","

Chemical, 
    
Dealer/Trader, 
    
Environmental/Clean Energy, 
    
Oil & Gas

",Bachelor's / Honours,0.0,PacificLight Power Pte Ltd,"Executive, Energy Trading","['\nResponsibilities:', '', 'Requirements:', '', '', '\nOther:', '']"
Permanent,Experienced,"

Sales Support/Coordination

",'N' Levels / 'O' Levels,"

        2,000 SGD - 2,300 SGD / Month
      
      
",SGS TESTING & CONTROL SERVICES SINGAPORE PTE LTD,Customer Service Executive,"['SPECIFIC RESPONSIBILITIES ', 'PROFILE ']"
Permanent,Experienced,"

Graphic/Print

",Diploma,0.0,Jio Technologies Limited,Graphic Designer,"['Overcoming challenges and adversity to achieve excellence by adapting to the ever-changing technology industry, Jio Technologies Limited is seeking performance driven, organized, detail-oriented and highly motivated individuals to be team members who will propel the Company towards achieving pinnacles of success in the increasingly sophisticated field of the technology industry. Jio Technologies Limited is in the social media business. We are currently seeking candidates for the following position:', '', '\nGraphic Designer Job Description\xa0 ', '', '\nJob Duties: ', 'Job Requirements: ', '', 'Only shortlisted candidates will be notified. Please include a recent photo in your resume.']"
Permanent,"Entry Level, Experienced","

Customer Service, 
    
Law/Legal, 
    
Sciences

",Bachelor's / Honours,0.0,ExxonMobil Asia Pacific Pte. Ltd.,ExxonMobil Contractor Services Coordinator,[]
Permanent,Entry Level,"

Brand/Product Management, 
    
Digital/Online Marketing, 
    
General Marketing, 
    
Sales Support/Coordination

","Bachelor's / Honours, Masters / PhD",0.0,Lithan Pte Ltd,Enterprise Solution Sales,"['What we look for:', 'We are seeking talents who are keen to learn, dare to innovate and have the desire to grow.', '', 'If you are a confident communicator and enjoy understanding the needs of your business customers, then you are the person we are looking for!', '', 'Welcome to the world of Enterprise Solution Sales…', ' ', '\nYour Job', ' ', '\nYour Responsibilities ', '', '\nYour Ideal Qualifications ', ' ', '\nWhy Join Lithan?', 'You derive great job satisfaction as you will be part of our mission in redefining adult education and career progression of individuals as well as total talents and training solutions providers for enterprises.', '', 'You will be provided with structured job induction training, complemented with work integrated learning for workplace skills mastery.', '', 'You will be part of a learning enterprise where learning is work and work is learning.', ' ', '\nWho are we?', 'Lithan, conferred with Leading HR practices Award in Learning and Development category by Singapore Human Resource Institute (SHRI) is an Digital Skills Accelerator Through On demand Learning & Mentoring platform. ', '', 'We are the training and recruitment partner of enterprises. Companies benefit from our customized workplace learning on-demand, talent framework and advisory services. Talent recruitment via our ""Place and Train"" programmes allow companies to acquire hard to get latent talents cost effectively.', '\xa0', 'Our ""Competency Learning as a Service"" (CLaaS) platform makes workplace learning pervasive at enterprises with on demand curriculum, learning facilitation, OJT mentoring support, learning advisory and learning technology.', '', '']"
Permanent,Experienced,"

IT-Software/Development

",Bachelor's / Honours,"

        5,000 SGD - 5,300 SGD / Year
      
      
",3top Consulting Pte Ltd,Data Scientist,[]
Permanent,"Entry Level, Experienced","

Brand/Product Management, 
    
Consumer Sales, 
    
Customer Service, 
    
Health & Fitness

","'N' Levels / 'O' Levels, ITE/ NITEC/ Higher NITEC, Diploma","

        2,500 SGD - 3,300 SGD / Year
      
      
",Evolve Mixed Martial Arts,Membership Executive (Sales),"['', 'As a Membership Executive at Evolve MMA:', 'Role\n\n', 'Requirements\n\n', ' ', 'Sales Incentives and Bonuses\n\n', ' ', '', 'Perks\n\n']"
Permanent,"Entry Level, Experienced","

IT-Software/Development

",Bachelor's / Honours,"

        42,000 SGD - 72,000 SGD / Year
      
      
",SnapHunt Pte Ltd,DevOps Developer,[]
Permanent,"Entry Level, Experienced","

Corporate Sales, 
    
Digital/Online Marketing, 
    
Hotels/Integrated Resorts, 
    
Sales Support/Coordination

","ITE/ NITEC/ Higher NITEC, Diploma, Bachelor's / Honours","

        2,200 SGD - 2,600 SGD / Year
      
      
",8 on Claymore Serviced Residences,Sales & Marketing Executive,"['Do you thrive on creating great guest experiences in an office with a Fun and Empowering environment?\n\n', 'This role requires you to consistently deliver high standards of customer service and timely sales administrative support to drive occupancy, profitability and maximise social media exposure for 8 on Claymore Serviced Residences!\n\n', 'As a Sales & Marketing Executive, your key responsibilities include (but are not limited to):\n\n', 'Sales Administration', 'Social Media Marketing', 'Write to us if you can check the following listed:']"
"Permanent, Contract","Entry Level, Experienced","

Account Management, 
    
Sales Support/Coordination

",Bachelor's / Honours,"

        2,900 SGD - 5,000 SGD / Month
      
      
",SearchAsia Consulting Pte Ltd,Business Consultant,"['', 'Interested parties, do send your CV to [Click Here to Email Your Resume]\xa0\n\n', 'Jace Wang Jing Lin, R1113653\n[Click Here to Email Your Resume]', '']"
Permanent,Entry Level,0.0,"'N' Levels / 'O' Levels, ITE/ NITEC/ Higher NITEC, 'A' Levels, Diploma, Bachelor's / Honours, Masters / PhD",0.0,Micron Semiconductor Asia,Back End Data Automation and Systems Manager,"['', 'Req. ID: 119781\xa0', 'JOB DESCRIPTION', 'As a Manufacturing Central Team (MCT) Data and Systems Manager at Micron Technology, Inc., you will be responsible for and overseeing the development and maintenance of yield data systems, solutions, reporting and/or data mining tools to empower our organization to make data-driven decision.\xa0 You will be working across our global manufacturing sites, collaborating with Data Scientists, Engineers, Technicians or Data Mining team members to discover new opportunities, design/implement systems to extract yield performance and manufacturing data from Micron’s database, transforming it into a format that enables ease of yield performance analysis to enable continuous improvement initiatives.', '', 'KEY RESPONSIBILITIES AND TASK', 'Organizational Leadership, Development and Communication', 'Build Next Generation Yield Data System', 'Enforce Operational Data Quality', 'Design and Develop Data Analytics and Visualization Solution', 'Ensure a Safe, Compliant, and Ethical Work Environment', '', 'EDUCATION REQUIRED', 'Bachelor’s Degree in Data Science, Computer Science, Software Engineering or related field of study', '', 'EXPERIENCE REQUIRED', '2+ years’ experience in any of the following and has proven track record of people and work management skills', '', ""\n We recruit, hire, train, promote, discipline and provide other conditions of employment without regard to a person's race, color, religion, sex, age, national origin, disability, sexual orientation, gender identity and expression, pregnancy, veteran’s status, or other classifications protected under law. \xa0This includes providing reasonable accommodation for team members' disabilities or religious beliefs and practices."", '\n Each manager, supervisor and team member is responsible for carrying out this policy. The EEO Administrator in Human Resources is responsible for administration of this policy. The administrator will monitor compliance and is available to answer any questions on EEO matters.', '\n To request assistance with the application process, please contact Micron’s Human Resources Department at 1-800-336-8918 (or 208-368-4748).', '\n Keywords: \xa0Singapore || North West (SG-03) || Singapore (SG) || Backend Manufacturing || Experienced || Regular || Engineering || #LI-LY1 ||\n \xa0', '\nJob Segment: \n Database, Engineer, Oracle, Developer, Manager, Technology, Engineering, Management\n \n \n ']"
Permanent,Experienced,"

Business Development, 
    
Corporate Sales, 
    
Events Management, 
    
Sales Support/Coordination

","Diploma, Bachelor's / Honours","

        2,800 SGD - 3,200 SGD / Month
      
      
",OakTree Consulting,Executive - Sponsorship Sales & Events,"['Job Summary', '', 'The incumbent will contribute to Company’s success by developing and establishing new partners to meet assigned event’s sponsorship sales targets. ', '', 'The job entails promoting our range of events to new and existing partners and clienteles, as well as liaising with partners on events execution to ensure smooth running.', '', '', 'Main Duties and Responsibilities ', '•\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 Support team to plan, conceptualise and execute events, conferences and ensure they are successfully executed as per plan and within budget allocated.', '•\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 Managing operational and administrative functions to ensure specific events and conferences are delivered efficiently.\xa0 Provide post-event analysis, budget recaps, debriefing sessions and participant feedback such as testimonials', '•\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 Facilitate the production of events related marketing materials, including leaflets, posters, flyers, newsletters and e-newsletters.', '•\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 Assist in sourcing for new partnership, collaboration, merchant tie-up and sponsorships.', '•\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 Supporting in generating and driving sponsorship sales for all events', '•\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 Work closely with both internal and external stakeholders and to ensure effective communication amongst all parties.', '•\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 Acquire new sponsors and contribute to cover costs of the events', '•\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 Account servicing of key sponsors; developing and managing long-term strategic partners', '•\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 Cold-calling and handling inbound enquiries for events', '•\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 Developing and growing distribution channels (local and overseas) ', '•\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 Sponsor’s leads and database management', '•\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 Any other ad-hoc tasks assigned by management.', '', '\xa0', 'Requirements', '']"
0.0,0.0,0.0,"'N' Levels / 'O' Levels, ITE/ NITEC/ Higher NITEC, 'A' Levels, Diploma, Bachelor's / Honours, Masters / PhD",0.0,United Overseas Bank Ltd (UOB),"Human Resource Analytics - Data Governance, Group Human Resources",[]
"Permanent, Part Time","Experienced, Manager","

Account Management, 
    
Business Development, 
    
Customer Service, 
    
Telesales/Telemarketing

","ITE/ NITEC/ Higher NITEC, Diploma, Bachelor's / Honours","

        2,000 SGD - 3,500 SGD / Month
      
      
",Pulley Ascent (Asia) Private Limited,Business Development Executive,"['As a Business Development Executive, you will be fully responsible for the implementation and execution of multiple demand generation programs for our clients. Successful executives will progress from the foundation level to professional and advanced levels. They will have the opportunity to become team leader and possibly have a promotion within 24 to 36 months.', '\xa0', 'This is great opportunity to learn new skills and grow your sales and marketing career. We will provide you with our specifically designed Certified Business Development Program that will help you acquire the necessary skills and knowledge to succeed in your role.', '\xa0', 'The ideal candidate has a positive team spirit, strives for continual personal and professional growth, and is committed to both their success and the success of the organisation.', '\xa0', 'The Job\n\n', '\xa0', 'What We Offer\n\n', 'Job Requirements\n\n']"
Contract,"Entry Level, Experienced","

IT-Hardware, 
    
IT-Administration, 
    
Maintenance, 
    
Troubleshoot

","ITE/ NITEC/ Higher NITEC, Diploma, Bachelor's / Honours",0.0,Feliz Pte Ltd,IT Desktop Support Engineer,[]
